dt x z theta new_xc de new_d_theta phi_t v_m phi_m phi_d
newcycle
0.0030 0.0000 0.0000 1.5708 -1.0006 -0.8854 -0.0831 0.0000 0.0000 0.0000 0.0000
0.0830 0.0000 0.0002 1.5708 -1.0007 -0.8854 -0.0831 -0.2485 0.0020 0.0000 0.0000
0.0310 -0.0000 0.0031 1.5712 -1.0009 -0.8854 -0.0827 -0.3747 0.0940 -0.1720 0.0000
0.0220 -0.0000 0.0092 1.5731 -1.0014 -0.8838 -0.0808 -0.4426 0.2770 -0.3800 0.0000
0.0230 -0.0001 0.0176 1.5762 -1.0020 -0.8755 -0.0777 -0.4472 0.3670 -0.4460 0.0000
0.0220 -0.0002 0.0286 1.5804 -1.0028 -0.8616 -0.0735 -0.4458 0.4990 -0.4500 0.0000
0.0220 -0.0004 0.0424 1.5856 -1.0038 -0.8433 -0.0683 -0.4371 0.6270 -0.4500 0.0000
0.0210 -0.0007 0.0582 1.5915 -1.0048 -0.8202 -0.0624 -0.4226 0.7510 -0.4490 0.0000
0.0220 -0.0012 0.0773 1.5987 -1.0058 -0.7938 -0.0552 -0.4042 0.8700 -0.4470 0.0000
0.0280 -0.0021 0.1016 1.6078 -1.0069 -0.7618 -0.0461 -0.3785 0.8700 -0.4470 0.0000
0.0220 -0.0031 0.1240 1.6159 -1.0078 -0.7208 -0.0380 -0.3474 1.0190 -0.4320 0.0000
0.0220 -0.0044 0.1479 1.6243 -1.0085 -0.6844 -0.0296 -0.3180 1.0890 -0.4200 0.0000
0.0220 -0.0061 0.1740 1.6334 -1.0090 -0.6465 -0.0205 -0.2871 1.1880 -0.4200 0.0000
0.0280 -0.0086 0.2089 1.6444 -1.0094 -0.6050 -0.0095 -0.2520 1.2500 -0.3830 0.0000
0.0220 -0.0110 0.2383 1.6529 -1.0094 -0.5545 -0.0010 -0.2086 1.3380 -0.3550 0.0000
0.0230 -0.0139 0.2702 1.6616 -1.0092 -0.5152 0.0077 -0.1743 1.3920 -0.3340 0.0000
0.0220 -0.0171 0.3023 1.6695 -1.0087 -0.4749 0.0156 -0.1389 1.4700 -0.3020 0.0000
0.0210 -0.0206 0.3350 1.6775 -1.0079 -0.4382 0.0236 -0.1066 1.5650 -0.3020 0.0000
0.0330 -0.0268 0.3871 1.6879 -1.0061 -0.4006 0.0340 -0.0727 1.5880 -0.2500 0.0000
0.0720 -0.0427 0.5016 1.7090 -0.9997 -0.3507 0.0551 -0.0276 1.6060 -0.2290 0.0000
0.0220 -0.0475 0.5362 1.7100 -0.9978 -0.2476 0.0561 0.0657 1.5900 -0.0370 0.0000
newcycle
0.0240 -0.0505 0.5742 1.7058 -0.9975 -0.2517 0.0517 0.0618 1.5730 0.0830 0.0000
0.0320 -0.0571 0.6241 1.7026 -0.9951 -0.2611 0.0484 0.0516 1.5730 0.0830 0.0000
0.0230 -0.0616 0.6592 1.6996 -0.9935 -0.2738 0.0453 0.0382 1.5410 0.1080 0.0000
0.0230 -0.0660 0.6939 1.6965 -0.9920 -0.2860 0.0422 0.0257 1.5180 0.1130 0.0000
0.0230 -0.0702 0.7278 1.6935 -0.9907 -0.2989 0.0393 0.0130 1.4840 0.1100 0.0000
0.0230 -0.0742 0.7611 1.6909 -0.9895 -0.3111 0.0366 0.0008 1.4610 0.1010 0.0000
0.0230 -0.0781 0.7940 1.6885 -0.9883 -0.3222 0.0342 -0.0102 1.4380 0.0900 0.0000
0.0250 -0.0821 0.8288 1.6867 -0.9872 -0.3319 0.0325 -0.0196 1.4020 0.0650 0.0000
0.0230 -0.0858 0.8605 1.6854 -0.9862 -0.3390 0.0311 -0.0269 1.3900 0.0550 0.0000
0.0220 -0.0892 0.8901 1.6841 -0.9853 -0.3444 0.0298 -0.0322 1.3520 0.0550 0.0000
0.0330 -0.0941 0.9336 1.6837 -0.9840 -0.3495 0.0293 -0.0372 1.3270 0.0120 0.0000
newcycle
0.0280 0.0061 0.4236 1.5471 -1.0238 -0.8343 -0.0677 -0.4323 1.3150 0.0040 -0.0006
0.0220 0.0067 0.4519 1.5492 -1.0256 -0.8374 -0.0656 -0.4331 1.2870 -0.0940 -0.0006
0.0220 0.0072 0.4793 1.5539 -1.0273 -0.8297 -0.0609 -0.4259 1.2480 -0.2170 -0.0006
0.0220 0.0075 0.5059 1.5605 -1.0287 -0.8095 -0.0543 -0.4092 1.2090 -0.3100 -0.0006
0.0230 0.0075 0.5331 1.5684 -1.0300 -0.7803 -0.0464 -0.3853 1.1840 -0.3550 -0.0006
0.0280 0.0073 0.5656 1.5787 -1.0312 -0.7452 -0.0361 -0.3563 1.1590 -0.3860 -0.0006
0.0220 0.0069 0.5906 1.5870 -1.0319 -0.6989 -0.0279 -0.3174 1.1350 -0.3990 -0.0006
0.0230 0.0062 0.6159 1.5954 -1.0323 -0.6617 -0.0195 -0.2854 1.1000 -0.4030 -0.0006
0.0220 0.0055 0.6393 1.6032 -1.0326 -0.6234 -0.0117 -0.2518 1.0670 -0.4030 -0.0006
0.0220 0.0046 0.6623 1.6104 -1.0327 -0.5876 -0.0045 -0.2202 1.0460 -0.3800 -0.0006
0.0270 0.0032 0.6900 1.6186 -1.0326 -0.5547 0.0037 -0.1906 1.0260 -0.3640 -0.0006
newcycle
0.0610 -0.0132 0.3728 1.6568 -1.0141 -0.3655 0.0492 -0.0264 0.9970 -0.3260 -0.0006
0.0230 -0.0152 0.3951 1.6601 -1.0130 -0.2889 0.0525 0.0449 0.9730 -0.1880 -0.0006
0.0220 -0.0171 0.4160 1.6610 -1.0119 -0.2725 0.0534 0.0604 0.9520 -0.0540 -0.0006
0.0250 -0.0192 0.4393 1.6608 -1.0106 -0.2675 0.0532 0.0650 0.9390 0.0080 -0.0006
0.0280 -0.0215 0.4654 1.6602 -1.0092 -0.2670 0.0526 0.0648 0.9330 0.0310 -0.0006
0.0230 -0.0234 0.4864 1.6590 -1.0081 -0.2686 0.0514 0.0627 0.9180 0.0720 -0.0006
0.0230 -0.0252 0.5072 1.6576 -1.0071 -0.2731 0.0499 0.0579 0.9080 0.0870 -0.0006
0.0350 -0.0278 0.5384 1.6552 -1.0056 -0.2787 0.0475 0.0522 0.8950 0.0970 -0.0006
newcycle
0.0400 -0.0042 0.2582 1.5842 -0.9984 -0.4502 0.0082 -0.1155 0.8890 0.0930 -0.0012
0.0220 -0.0045 0.2777 1.5837 -0.9983 -0.4620 0.0076 -0.1264 0.8850 0.0330 -0.0012
0.0240 -0.0048 0.2988 1.5843 -0.9981 -0.4643 0.0082 -0.1285 0.8810 -0.0360 -0.0012
0.0230 -0.0051 0.3190 1.5857 -0.9979 -0.4615 0.0096 -0.1259 0.8780 -0.0860 -0.0012
0.0230 -0.0054 0.3392 1.5874 -0.9977 -0.4551 0.0113 -0.1202 0.8770 -0.1080 -0.0012
0.0250 -0.0058 0.3611 1.5896 -0.9974 -0.4471 0.0135 -0.1129 0.8760 -0.1310 -0.0012
0.0220 -0.0062 0.3803 1.5917 -0.9971 -0.4365 0.0155 -0.1033 0.8760 -0.1370 -0.0012
0.0230 -0.0067 0.4005 1.5939 -0.9967 -0.4267 0.0177 -0.0945 0.8760 -0.1380 -0.0012
0.0230 -0.0072 0.4207 1.5960 -0.9963 -0.4164 0.0198 -0.0852 0.8780 -0.1350 -0.0012
0.0230 -0.0077 0.4409 1.5981 -0.9959 -0.4062 0.0219 -0.0760 0.8790 -0.1300 -0.0012
0.0260 -0.0084 0.4638 1.6003 -0.9953 -0.3963 0.0240 -0.0671 0.8820 -0.1210 -0.0012
newcycle
0.0420 -0.0012 0.2864 1.5874 -0.9826 -0.1022 0.0870 0.2169 0.8850 -0.1120 -0.0012
0.0230 -0.0016 0.3069 1.5892 -0.9808 -0.0842 0.0888 0.2333 0.8920 -0.1120 -0.0012
0.0240 -0.0020 0.3284 1.5899 -0.9789 -0.0742 0.0895 0.2428 0.8960 -0.0410 -0.0012
0.0230 -0.0024 0.3492 1.5899 -0.9770 -0.0692 0.0894 0.2469 0.9020 0.0030 -0.0012
0.0250 -0.0028 0.3719 1.5887 -0.9750 -0.0677 0.0882 0.2473 0.9090 0.0680 -0.0012
0.0300 -0.0033 0.3993 1.5867 -0.9727 -0.0713 0.0862 0.2419 0.9120 0.0930 -0.0012
0.0240 -0.0036 0.4213 1.5841 -0.9708 -0.0782 0.0836 0.2327 0.9190 0.1450 -0.0012
0.0240 -0.0038 0.4435 1.5809 -0.9690 -0.0879 0.0804 0.2208 0.9260 0.1850 -0.0012
0.0290 -0.0039 0.4708 1.5759 -0.9670 -0.1011 0.0753 0.2056 0.9400 0.2310 -0.0012
0.0250 -0.0039 0.4944 1.5714 -0.9653 -0.1221 0.0708 0.1812 0.9440 0.2380 -0.0012
newcycle
0.0420 0.0006 0.2692 1.5523 -0.9370 -0.1458 0.0566 0.1374 0.9510 0.2370 -0.0012
0.0240 0.0011 0.2923 1.5484 -0.9358 -0.1781 0.0527 0.1023 0.9620 0.2130 -0.0012
0.0230 0.0016 0.3147 1.5451 -0.9347 -0.1948 0.0494 0.0844 0.9740 0.1830 -0.0012
0.0230 0.0023 0.3373 1.5422 -0.9336 -0.2085 0.0465 0.0698 0.9810 0.1640 -0.0012
0.0240 0.0030 0.3611 1.5396 -0.9326 -0.2209 0.0439 0.0566 0.9930 0.1380 -0.0012
0.0230 0.0038 0.3840 1.5373 -0.9316 -0.2317 0.0416 0.0452 0.9960 0.1300 -0.0012
0.0230 0.0046 0.4071 1.5355 -0.9307 -0.2415 0.0397 0.0347 1.0070 0.1020 -0.0012
0.0230 0.0055 0.4304 1.5339 -0.9298 -0.2491 0.0381 0.0265 1.0140 0.0870 -0.0012
0.0270 0.0065 0.4581 1.5325 -0.9288 -0.2555 0.0368 0.0194 1.0270 0.0610 -0.0012
0.0250 0.0076 0.4839 1.5314 -0.9279 -0.2606 0.0357 0.0138 1.0300 0.0560 -0.0012
newcycle
