dt x z theta phi_a v_a new_xc new_d_theta phi_t v_t
0.0010 -1.9013 4.4924 2.3612 0.4054 0.7082 0.4013 0.7904 0.3990 2.3980
0.0060 -1.9043 4.4954 2.3597 0.4054 0.7087 0.4043 0.7889 0.3990 2.3980
0.0060 -1.9073 4.4984 2.3583 0.4053 0.7097 0.4073 0.7875 0.3990 2.3980
0.0060 -1.9103 4.5015 2.3569 0.4051 0.7111 0.4103 0.7861 0.3990 2.3980
0.0060 -1.9133 4.5045 2.3554 0.4050 0.7129 0.4133 0.7846 0.3990 2.3980
0.0060 -1.9164 4.5075 2.3540 0.4048 0.7152 0.4164 0.7832 0.3990 2.3980
0.0060 -1.9194 4.5106 2.3526 0.4045 0.7180 0.4194 0.7818 0.3990 2.3980
0.0060 -1.9225 4.5137 2.3511 0.4043 0.7211 0.4225 0.7803 0.3990 2.3980
0.0060 -1.9255 4.5168 2.3497 0.4041 0.7247 0.4255 0.7789 0.3990 2.3980
0.0060 -1.9286 4.5199 2.3482 0.4038 0.7287 0.4286 0.7774 0.3990 2.3980
0.0060 -1.9317 4.5230 2.3467 0.4035 0.7332 0.4317 0.7759 0.3990 2.3980
0.0060 -1.9348 4.5262 2.3453 0.4033 0.7380 0.4348 0.7745 0.3990 2.3980
0.0060 -1.9379 4.5294 2.3438 0.4030 0.7433 0.4379 0.7730 0.3990 2.3980
0.0060 -1.9410 4.5326 2.3423 0.4027 0.7489 0.4410 0.7715 0.3990 2.3980
0.0060 -1.9442 4.5358 2.3408 0.4025 0.7549 0.4442 0.7700 0.3990 2.3980
0.0060 -1.9473 4.5391 2.3393 0.4022 0.7613 0.4473 0.7685 0.3990 2.3980
0.0070 -1.9511 4.5430 2.3375 0.4020 0.7683 0.4511 0.7667 0.3990 2.3980
0.0070 -1.9548 4.5469 2.3357 0.4017 0.7757 0.4548 0.7649 0.3990 2.3980
0.0080 -1.9591 4.5514 2.3336 0.4015 0.7838 0.4591 0.7628 0.3990 2.3980
0.0080 -1.9635 4.5560 2.3315 0.4012 0.7926 0.4635 0.7607 0.3990 2.3980
0.0080 -1.9679 4.5607 2.3294 0.4010 0.8020 0.4679 0.7586 0.3990 2.3980
